car-type,car-id,total_visit,total_stay_duration,total_stops,total_num_generalgate,total_num_rangerstop,total_num_camping,total_num_rangerbase,total_num_gate
1,20150105090139-623,1,172.6225,16,8,4,2,0,0
1,20150106030143-319,1,45.275,10,4,2,2,0,0
1,20150106080108-146,1,0.9794444444444445,9,3,2,2,0,0
1,20150106080113-871,1,37.5475,17,9,4,2,0,0
1,20150107100101-687,1,0.28833333333333333,2,0,0,0,0,0
1,20150108040111-888,1,54.44361111111111,12,6,2,2,0,0
1,20150108040141-642,1,52.70833333333333,11,5,2,2,0,0
1,20150108060104-840,1,227.31499999999997,7,3,0,2,0,0
1,20150108080154-471,1,33.92638888888889,6,2,0,2,0,0
1,20150108090148-800,1,1.5141666666666667,11,5,2,2,0,0
1,20150108100148-571,1,0.9519444444444445,8,4,2,0,0,0
1,20150108120140-67,1,20.06861111111111,7,3,0,2,0,0
1,20150109060133-67,1,29.005277777777778,11,5,2,2,0,0
1,20150109090104-441,1,1.4836111111111112,16,8,4,2,0,0
1,20150110010138-303,1,0.5322222222222223,6,2,2,0,0,0
1,20150110050107-785,1,0.3491666666666667,2,0,0,0,0,0
1,20150110060107-684,1,176.93833333333333,13,7,2,2,0,0
1,20150110100128-45,1,0.46944444444444444,3,1,0,0,0,0
1,20150111030116-821,1,54.60833333333334,11,5,2,2,0,0
1,20150111080117-6,1,0.5686111111111111,6,2,2,0,0,0
1,20150112050122-27,1,102.0075,11,5,2,2,0,0
1,20150112050156-642,1,53.36194444444444,14,6,4,2,0,0
1,20150112060145-428,1,24.855555555555554,16,8,4,2,0,0
1,20150112110110-857,1,100.82611111111112,10,4,2,2,0,0
1,20150112110147-385,1,194.7913888888889,9,3,2,2,0,0
1,20150113020105-915,1,22.672777777777778,13,7,2,2,0,0
1,20150113030159-936,1,55.463055555555556,11,5,2,2,0,0
1,20150113120100-489,1,1.6975,16,8,4,2,0,0
1,20150113120141-485,1,48.46972222222223,9,3,2,2,0,0
1,20150114010135-879,1,138.37944444444443,5,1,0,2,0,0
1,20150114030106-231,1,19.078611111111112,5,1,0,2,0,0
1,20150114060124-678,1,2.7827777777777776,14,6,4,2,0,0
1,20150115010131-543,1,21.467222222222222,11,5,2,2,0,0
1,20150115080147-541,1,61.36388888888889,8,4,0,2,0,0
1,20150115090108-931,1,0.7827777777777778,7,3,2,0,0,0
1,20150115110144-566,1,81.28583333333333,13,7,2,2,0,0
1,20150116070109-391,1,74.54583333333333,9,3,2,2,0,0
1,20150116110131-176,1,0.9241666666666667,9,5,2,0,0,0
1,20150117050111-877,1,0.9708333333333333,8,4,2,0,0,0
1,20150117050152-613,1,0.5402777777777777,3,1,0,0,0,0
1,20150117060105-392,1,41.08222222222222,17,9,4,2,0,0
1,20150117070118-157,1,83.5725,12,6,2,2,0,0
1,20150117110134-691,1,1.8827777777777779,18,10,4,2,0,0
1,20150118010148-280,1,1.1513888888888888,8,4,2,0,0,0
1,20150118110157-82,1,188.7,9,3,2,2,0,0
1,20150119090129-183,1,335.30805555555554,12,6,2,2,0,0
1,20150119100120-362,1,0.3202777777777778,2,0,0,0,0,0
1,20150120010150-561,1,0.5302777777777777,5,1,0,2,0,0
1,20150120020159-683,1,24.83388888888889,17,9,4,2,0,0
1,20150120080147-213,1,0.6308333333333334,5,1,0,2,0,0
1,20150121010129-985,1,2.0997222222222223,16,8,4,2,0,0
1,20150121020117-781,1,97.04444444444445,7,3,0,2,0,0
1,20150121030143-599,1,55.73361111111111,12,6,2,2,0,0
1,20150121050143-645,1,0.49722222222222223,7,3,2,0,0,0
1,20150121060147-159,1,80.60555555555555,6,2,0,2,0,0
1,20150122020145-884,1,0.49166666666666664,3,1,0,0,0,0
1,20150122030139-293,1,0.3794444444444444,2,0,0,0,0,0
1,20150122050120-946,1,97.8572222222222,6,2,0,2,0,0
1,20150122050155-696,1,1.1422222222222222,9,5,2,0,0,0
1,20150122060153-192,1,0.4519444444444444,3,1,0,0,0,0
1,20150122090127-897,1,127.3661111111111,11,5,2,2,0,0
1,20150122090132-684,1,129.70194444444442,12,6,2,2,0,0
1,20150122100136-869,1,144.32833333333335,7,3,0,2,0,0
1,20150122100139-218,1,145.45666666666668,13,7,2,2,0,0
1,20150123030104-225,1,0.5213888888888889,6,2,2,0,0,0
1,20150123030147-354,1,0.30916666666666665,2,0,0,0,0,0
1,20150123100107-508,1,31.565,14,6,4,2,0,0
1,20150123100144-22,1,1.506388888888889,11,5,2,2,0,0
1,20150123110109-178,1,0.4741666666666667,6,2,0,2,0,0
1,20150124040121-291,1,66.30722222222222,17,9,4,2,0,0
1,20150124040148-340,1,0.6083333333333333,5,1,0,2,0,0
1,20150124080152-145,1,81.16361111111111,9,3,2,2,0,0
1,20150124090106-75,1,60.06527777777778,7,3,0,2,0,0
1,20150125110117-319,1,0.5577777777777778,5,1,0,2,0,0
1,20150126050104-378,1,210.6363888888889,11,5,2,2,0,0
1,20150126090104-272,1,3.5544444444444445,7,3,0,2,0,0
1,20150126110156-850,1,0.6019444444444444,4,2,0,0,0,0
1,20150126120104-294,1,0.33,2,0,0,0,0,0
1,20150127030110-863,1,23.70277777777778,18,10,4,2,0,0
1,20150127030133-376,1,68.22694444444444,12,4,4,2,0,0
1,20150127050102-625,1,1.0263888888888888,4,0,0,2,0,0
1,20150127090118-293,1,1.2377777777777779,11,5,2,2,0,0
1,20150127110109-336,1,80.81611111111111,12,4,4,2,0,0
1,20150128070124-874,1,204.43777777777777,11,5,2,2,0,0
1,20150129070156-888,1,100.11,11,5,2,2,0,0
1,20150129120100-835,1,91.19916666666667,9,3,2,2,0,0
1,20150130030134-783,1,30.73527777777778,18,10,4,2,0,0
1,20150131120109-93,1,0.9997222222222222,9,3,2,2,0,0
1,20150201030218-279,1,0.5936111111111111,5,1,0,2,0,0
1,20150201030222-313,1,0.7883333333333333,7,3,2,0,0,0
1,20150201030237-485,1,193.62555555555554,11,5,2,2,0,0
1,20150201040231-215,1,65.62833333333333,6,2,0,2,0,0
1,20150202100259-885,1,0.8025,7,3,0,2,0,0
1,20150203060210-288,1,123.5447222222222,12,4,4,2,0,0
1,20150203060230-10,1,39.280277777777776,11,5,2,2,0,0
1,20150203070211-66,1,3.0075,11,5,2,2,0,0
1,20150204010234-9,1,26.149166666666662,6,2,0,2,0,0
1,20150204110202-249,1,1.218611111111111,11,5,2,2,0,0
1,20150205010257-226,1,46.364444444444445,6,2,0,2,0,0
1,20150205030232-909,1,174.97666666666666,9,3,2,2,0,0
1,20150205030244-387,1,1.155,8,4,2,0,0,0
1,20150205040249-209,1,0.5408333333333334,7,3,2,0,0,0
1,20150205050206-416,1,0.4066666666666667,2,0,0,0,0,0
1,20150205050211-113,1,1.6983333333333333,9,3,2,2,0,0
1,20150205060243-479,1,6.38,11,5,2,2,0,0
1,20150206070250-791,1,110.61833333333334,9,3,2,2,0,0
1,20150206080212-82,1,220.60888888888888,12,6,2,2,0,0
1,20150206080226-163,1,28.501666666666665,7,3,0,2,0,0
1,20150207050259-178,1,44.67,16,8,4,2,0,0
1,20150207070236-872,1,1.468611111111111,6,2,0,2,0,0
1,20150207080240-722,1,154.61,6,2,0,2,0,0
1,20150207090207-597,1,0.49194444444444446,7,3,2,0,0,0
1,20150207100218-368,1,46.730555555555554,9,3,2,2,0,0
1,20150207100246-511,1,53.50722222222221,9,3,2,2,0,0
1,20150207100251-836,1,47.846666666666664,13,7,2,2,0,0
1,20150207120223-773,1,1.2430555555555556,11,5,2,2,0,0
1,20150208020258-125,1,51.3613888888889,12,6,2,2,0,0
1,20150208060247-95,1,30.080277777777777,8,4,0,2,0,0
1,20150209010259-697,1,18.700555555555557,9,3,2,2,0,0
1,20150209030207-239,1,1.45,11,5,2,2,0,0
1,20150209040256-114,1,0.5847222222222223,7,3,2,0,0,0
1,20150209060231-540,1,82.57638888888889,16,8,4,2,0,0
1,20150209060231-719,1,368.4555555555556,12,4,4,2,0,0
1,20150209080253-791,1,1.4455555555555555,8,4,0,2,0,0
1,20150210020219-563,1,23.563333333333333,13,7,2,2,0,0
1,20150210080230-653,1,1.1483333333333334,8,4,2,0,0,0
1,20150210100228-734,1,121.32944444444445,7,3,0,2,0,0
1,20150211020216-596,1,0.3641666666666667,2,0,0,0,0,0
1,20150211090239-980,1,0.5780555555555555,7,3,2,0,0,0
1,20150211110249-463,1,1.1583333333333334,10,4,2,2,0,0
1,20150212020230-583,1,0.47805555555555557,6,2,2,0,0,0
1,20150212040259-674,1,1.726388888888889,16,8,4,2,0,0
1,20150213020242-370,1,0.305,2,0,0,0,0,0
1,20150213100244-187,1,173.69694444444445,13,7,2,2,0,0
1,20150213110259-700,1,0.5255555555555556,7,3,2,0,0,0
1,20150214020240-113,1,30.915277777777778,11,5,2,2,0,0
1,20150214070255-757,1,37.904444444444444,16,8,4,2,0,0
1,20150214110230-668,1,69.13944444444445,6,2,0,2,0,0
1,20150215040246-830,1,0.7288888888888889,5,1,0,2,0,0
1,20150215060225-774,1,228.2122222222222,11,5,2,2,0,0
1,20150215070210-159,1,64.21916666666667,16,8,4,2,0,0
1,20150216030218-144,1,121.25055555555555,12,6,2,2,0,0
1,20150216050250-845,1,0.36916666666666664,2,0,0,0,0,0
1,20150216090217-343,1,0.42083333333333334,3,1,0,0,0,0
1,20150216120249-701,1,0.455,6,2,2,0,0,0
1,20150217070227-343,1,80.80666666666667,11,5,2,2,0,0
1,20150217100259-352,1,47.5825,17,9,4,2,0,0
1,20150217110211-163,1,0.5919444444444445,4,2,0,0,0,0
1,20150218020205-444,1,102.68055555555557,10,4,2,2,0,0
1,20150218030208-54,1,0.37805555555555553,2,0,0,0,0,0
1,20150218060201-241,1,6.865555555555556,18,10,4,2,0,0
1,20150218100235-723,1,0.5513888888888889,4,2,0,0,0,0
1,20150218120246-220,1,79.23472222222222,11,5,2,2,0,0
1,20150219010259-607,1,1.5269444444444444,13,7,2,2,0,0
1,20150219040226-843,1,223.0813888888889,11,5,2,2,0,0
1,20150219050239-130,1,1.918611111111111,9,3,2,2,0,0
1,20150219060245-412,1,5.485,14,6,4,2,0,0
1,20150219120223-913,1,154.09194444444444,13,7,2,2,0,0
1,20150220040211-856,1,75.3561111111111,17,9,4,2,0,0
1,20150220050250-759,1,0.37277777777777776,2,0,0,0,0,0
1,20150220070230-806,1,1.5202777777777778,11,5,2,2,0,0
1,20150220070258-78,1,0.6830555555555555,5,1,0,2,0,0
1,20150220080208-953,1,24.6625,12,6,2,2,0,0
1,20150220120207-682,1,1.2925,11,5,2,2,0,0
1,20150221080230-251,1,0.5238888888888888,4,2,0,0,0,0
1,20150221080233-162,1,228.4463888888889,13,7,2,2,0,0
1,20150221090256-672,1,22.036666666666665,16,8,4,2,0,0
1,20150222020245-78,1,98.32999999999998,6,2,0,2,0,0
1,20150223010227-152,1,0.3522222222222222,2,0,0,0,0,0
1,20150223080236-476,1,2.4702777777777776,5,1,0,2,0,0
1,20150223110226-578,1,57.68361111111112,17,9,4,2,0,0
1,20150223110259-667,1,23.17,17,9,4,2,0,0
1,20150224010242-67,1,56.16166666666667,9,3,2,2,0,0
1,20150224040251-670,1,44.661944444444444,6,2,0,2,0,0
1,20150224060210-730,1,6.4225,11,5,2,2,0,0
1,20150224100248-221,1,60.859722222222224,9,3,2,2,0,0
1,20150225120206-4,1,149.14666666666668,5,1,0,2,0,0
1,20150225120233-156,1,0.7705555555555555,6,2,2,0,0,0
1,20150226020240-312,1,0.46444444444444444,3,1,0,0,0,0
1,20150226090206-282,1,80.70166666666667,13,7,2,2,0,0
1,20150227050213-13,1,21.002777777777776,6,2,0,2,0,0
1,20150227080211-917,1,0.9227777777777778,7,3,2,0,0,0
1,20150227110259-695,1,0.4913888888888889,7,3,2,0,0,0
1,20150228020218-410,1,0.9283333333333333,9,5,2,0,0,0
1,20150228040218-159,1,51.669444444444444,11,5,2,2,0,0
1,20150228050229-132,1,0.3388888888888889,2,0,0,0,0,0
1,20150228060237-734,1,1.0802777777777777,11,5,2,2,0,0
1,20150228060241-909,1,0.9638888888888889,7,3,2,0,0,0
1,20150228070255-830,1,1.1330555555555555,9,5,2,0,0,0
1,20150228100230-407,1,0.43,3,1,0,0,0,0
1,20150228110224-816,1,46.56611111111111,17,9,4,2,0,0
1,20150229050210-638,1,48.07666666666667,6,2,0,2,0,0
1,20150229070248-397,1,76.13,11,5,2,2,0,0
1,20150229070254-204,1,102.92222222222223,5,1,0,2,0,0
1,20150229100219-140,1,0.5658333333333334,4,2,0,0,0,0
1,20150229120212-565,1,57.62555555555555,4,0,0,2,0,0
1,20150230040228-217,1,0.8219444444444445,6,2,2,0,0,0
1,20150230060218-649,1,0.4186111111111111,3,1,0,0,0,0
1,20150230070206-829,1,104.75361111111113,11,5,2,2,0,0
1,20150230090247-751,1,0.5138888888888888,3,1,0,0,0,0
1,20150230100237-163,1,131.73722222222221,6,2,0,2,0,0
1,20150231010230-879,1,20.24361111111111,9,3,2,2,0,0
1,20150231010233-845,1,262.8411111111111,16,8,4,2,0,0
1,20150231020234-357,1,1.0886111111111112,9,5,2,0,0,0
1,20150231040206-408,1,0.6147222222222222,7,3,2,0,0,0
1,20150231060233-191,1,36.35055555555556,7,3,0,2,0,0
1,20150231120236-701,1,69.31972222222223,11,5,2,2,0,0
1,20150301040355-981,1,146.1963888888889,12,6,2,2,0,0
1,20150301050357-768,1,19.468333333333334,12,6,2,2,0,0
1,20150301110359-991,1,0.6272222222222222,4,2,0,0,0,0
1,20150302010312-760,1,0.6955555555555556,5,1,0,2,0,0
1,20150303040325-976,1,73.96888888888888,11,5,2,2,0,0
1,20150303080344-262,1,62.148611111111116,11,5,2,2,0,0
1,20150303100300-303,1,1.091388888888889,9,5,2,0,0,0
1,20150304020354-357,1,2.104722222222222,16,8,4,2,0,0
1,20150304020357-184,1,223.25611111111112,7,3,0,2,0,0
1,20150304060314-79,1,4.352777777777778,6,2,0,2,0,0
1,20150304080318-31,1,83.53916666666667,6,2,0,2,0,0
1,20150304080333-22,1,1.5605555555555555,11,5,2,2,0,0
1,20150304100320-326,1,0.4116666666666667,2,0,0,0,0,0
1,20150304120307-360,1,177.10666666666665,14,6,4,2,0,0
1,20150304120353-11,1,0.5088888888888888,3,1,0,0,0,0
1,20150305030327-986,1,292.2633333333333,6,2,0,2,0,0
1,20150305040319-117,1,1.3105555555555555,14,6,4,2,0,0
1,20150305060300-527,1,146.86666666666667,6,2,0,2,0,0
1,20150306030356-503,1,0.8916666666666667,9,3,2,2,0,0
1,20150307020308-823,1,20.566666666666666,11,5,2,2,0,0
1,20150308090350-385,1,0.7936111111111112,6,2,0,2,0,0
1,20150308110346-628,1,33.85944444444444,6,2,0,2,0,0
1,20150309010348-628,1,75.75027777777778,11,5,2,2,0,0
1,20150309100312-290,1,50.860277777777775,12,6,2,2,0,0
1,20150310050337-557,1,24.920555555555556,12,6,2,2,0,0
1,20150310080358-131,1,1.928611111111111,17,9,4,2,0,0
1,20150311040359-426,1,72.10472222222221,16,8,4,2,0,0
1,20150312020332-263,1,54.555555555555564,12,4,4,2,0,0
1,20150312030310-797,1,0.3591666666666667,2,0,0,0,0,0
1,20150312030323-538,1,42.150555555555556,5,1,0,2,0,0
1,20150312070334-705,1,29.269166666666667,12,6,2,2,0,0
1,20150312070358-756,1,2.3805555555555555,17,9,4,2,0,0
1,20150312110353-306,1,43.905277777777776,12,6,2,2,0,0
1,20150313020340-835,1,1.173888888888889,8,4,0,2,0,0
1,20150313050304-212,1,0.2925,2,0,0,0,0,0
1,20150313080324-835,1,252.7536111111111,9,3,2,2,0,0
1,20150313120304-778,1,0.5325,7,3,2,0,0,0
1,20150314010330-172,1,0.41583333333333333,3,1,0,0,0,0
1,20150315030313-186,1,17.60472222222222,6,2,0,2,0,0
1,20150315030315-306,1,0.9288888888888889,7,3,2,0,0,0
1,20150315040326-931,1,1.5972222222222223,13,7,2,2,0,0
1,20150315040346-314,1,67.03583333333333,6,2,0,2,0,0
1,20150315070348-862,1,0.42055555555555557,3,1,0,0,0,0
1,20150315100304-407,1,0.4361111111111111,3,1,0,0,0,0
1,20150315110303-677,1,123.28777777777778,7,3,0,2,0,0
1,20150316010332-387,1,128.60722222222222,11,5,2,2,0,0
1,20150316030322-873,1,1.3283333333333334,9,3,2,2,0,0
1,20150316060340-469,1,6.365833333333334,9,3,2,2,0,0
1,20150316120315-424,1,50.422777777777775,6,2,0,2,0,0
1,20150317050329-424,1,4.276388888888889,11,5,2,2,0,0
1,20150317100334-180,1,0.9930555555555556,8,4,2,0,0,0
1,20150318020305-433,1,1.633888888888889,13,7,2,2,0,0
1,20150318040307-903,1,1.4952777777777777,16,8,4,2,0,0
1,20150318040329-875,1,29.070277777777775,13,7,2,2,0,0
1,20150318040333-385,1,0.4255555555555556,2,0,0,0,0,0
1,20150318050336-762,1,0.5166666666666667,4,2,0,0,0,0
1,20150319020304-688,1,32.437777777777775,6,2,0,2,0,0
1,20150319090350-88,1,346.78055555555557,11,5,2,2,0,0
1,20150320030349-572,1,128.14249999999998,16,8,4,2,0,0
1,20150320050325-256,1,8.43361111111111,12,4,4,2,0,0
1,20150320110357-989,1,0.49583333333333335,4,2,0,0,0,0
1,20150321010307-127,1,188.1863888888889,11,5,2,2,0,0
1,20150321040305-564,1,0.5108333333333334,4,2,0,0,0,0
1,20150321060348-225,1,5.333611111111111,13,7,2,2,0,0
1,20150321080317-281,1,76.8711111111111,17,9,4,2,0,0
1,20150322060343-331,1,98.17583333333333,16,8,4,2,0,0
1,20150322080331-384,1,73.36722222222222,11,5,2,2,0,0
1,20150322080359-496,1,0.6991666666666667,6,2,0,2,0,0
1,20150322090352-662,1,23.226111111111113,8,4,0,2,0,0
1,20150322100332-892,1,0.8055555555555556,6,2,2,0,0,0
1,20150322110349-365,1,53.70583333333334,6,2,0,2,0,0
1,20150323020331-139,1,0.9669444444444445,9,5,2,0,0,0
1,20150323030348-749,1,173.20083333333332,11,5,2,2,0,0
1,20150323040301-184,1,50.996944444444445,18,10,4,2,0,0
1,20150323050310-883,1,147.9561111111111,6,2,0,2,0,0
1,20150323070338-324,1,0.4722222222222222,3,1,0,0,0,0
1,20150323120317-848,1,0.41555555555555557,4,0,0,2,0,0
1,20150324080316-784,1,58.70361111111112,10,4,2,2,0,0
1,20150325010321-329,1,1.6116666666666666,13,7,2,2,0,0
1,20150325020355-94,1,0.4113888888888889,3,1,0,0,0,0
1,20150325030320-992,1,0.5208333333333334,4,2,0,0,0,0
1,20150325060300-912,1,32.27361111111111,12,6,2,2,0,0
1,20150325090305-573,1,0.7772222222222223,6,2,2,0,0,0
1,20150325090326-748,1,0.51,3,1,0,0,0,0
1,20150326040316-459,1,53.01888888888889,7,3,0,2,0,0
1,20150326090318-883,1,133.6222222222222,6,2,0,2,0,0
1,20150326110308-543,1,31.317777777777778,12,6,2,2,0,0
1,20150326120302-265,1,20.778333333333332,7,3,0,2,0,0
1,20150327030331-456,1,24.650833333333328,12,6,2,2,0,0
1,20150327030347-941,1,164.65944444444443,18,10,4,2,0,0
1,20150327050342-760,1,70.525,7,3,0,2,0,0
1,20150327100356-183,1,92.46888888888888,6,2,0,2,0,0
1,20150328060313-318,1,6.3838888888888885,11,5,2,2,0,0
1,20150328060314-923,1,171.23277777777778,16,8,4,2,0,0
1,20150328070321-554,1,82.08611111111111,12,6,2,2,0,0
1,20150328070355-178,1,0.7294444444444445,6,2,2,0,0,0
1,20150328070359-611,1,23.888055555555557,11,5,2,2,0,0
1,20150328090306-30,1,3.8733333333333335,17,9,4,2,0,0
1,20150328090330-172,1,48.07166666666666,17,9,4,2,0,0
1,20150329030356-86,1,50.32111111111111,10,4,2,2,0,0
1,20150329060327-985,1,0.6330555555555556,4,2,0,0,0,0
1,20150329090328-682,1,0.5408333333333334,3,1,0,0,0,0
1,20150329090346-314,1,0.9038888888888889,7,3,2,0,0,0
1,20150329100312-987,1,0.3502777777777778,2,0,0,0,0,0
1,20150329120353-101,1,0.9502777777777778,9,5,2,0,0,0
1,20150330040351-563,1,0.86,11,5,2,2,0,0
1,20150330050315-215,1,65.88083333333333,12,6,2,2,0,0
1,20150330060312-987,1,32.897222222222226,17,9,4,2,0,0
1,20150330070352-212,1,4.0441666666666665,11,5,2,2,0,0
1,20150330100344-165,1,1.0133333333333334,8,4,0,2,0,0
1,20150331040348-209,1,1.081388888888889,9,5,2,0,0,0
1,20150331070335-866,1,1.0180555555555555,9,3,2,2,0,0
1,20150331080305-385,1,1.9741666666666666,18,10,4,2,0,0
1,20150401070439-330,1,28.467777777777783,12,6,2,2,0,0
1,20150401070447-6,1,0.8136111111111111,6,2,2,0,0,0
1,20150401080435-346,1,2.2391666666666667,18,10,4,2,0,0
